category,간체자,한어병음,한글
1,,zhájiànmiàn,짜장면
1,,cháng chéng,만리장성
1,,xióng māo,판다
1,,qípáo,치파오
1,,jīngjù,경극
1,,Bīngmǎyǒng,병마용
1,,Sānguó Yǎnyì,삼국지
1,,zhōnghuá Rénmín Gònghéguó,중화인민공화국
1,,Wǔxīng-Hóngqí,오성홍기
1,,Bějīng,베이징
1,,Hàn zú,한족
1,,Hànyǔ,한어
1,,pǔtōnghuà,보통화
1,,jiǎnhuàzì,간화자
1,,HànyùPīnyīn,한어병음
1,,yī,1
1,,èr,2
1,,sān,3
1,,sì,4
1,,wǔ,5
1,,liù,6
1,,qī,7
1,,bā,8
1,,jiǔ,9
1,,shí,10
1,,gōngzhǔ,공주
1,,hóngchá,홍차
1,,mén,문
1,,nóngcūn,농촌
1,,túshūguǎn,도서관
1,,zhěnglǐ,정리
1,,chá,차
1,,chúfáng,주방
1,,zhǔnbèi,준비
1,,huānyíng,환영
1,,gǎnxiè,감사
1,,kāfēi,카페
1,,qiǎokèlì,초콜릿
1,,shāfā,쇼파
1,,xìnyòngkǎ,신용카드
2,你好,nǐ hǎo,안녕
2,你们,nǐmen,너희들
2,再见,zàijiàn,잘가
2,明天,míngtiān,내일
2,见,jiàn,만나다
2,老师,lǎoshī,선생님
2,大家,dàjiā,"모두, 여러분"
2,下午,xiàwǔ,오후
2,晚上,wǎnshang,"저녁, 밤"
2,我们,wǒmen,우리(들)
2,谢谢,xièxie,고맙다
2,不,bù,~이 아니다
2,不客气,búkèqi,천만에
2,对不起,duìbuqǐ,미안하다
2,下课,xiàkè,수업을 마치다
2,没关系,méiguānxi,괜찮아
2,不好意思,bùhǎoyìsi,유감이다
2,早上,zǎoshang,아침
2,同学,tóngzué,학우
2,您,nín,당신
2,妈妈,māma,어머니
2,叫,jiào,~라고 하다
2,什么,shénme,"무엇, 무슨"
2,名字,míngzi,이름
2,你呢,nǐ ne,너는?
2,认识,rènshi,알다
2,很,hěn,매우
2,高兴,gāoxìng,기쁘다
2,也,yě,"~도, 또한"
2,找,zhǎo,찾다
2,手机,shǒujī,휴대전화
2,爱,ài,사랑하다
2,忙,máng,바쁘다
2,她,tā,그 여자
2,漂亮,piàoliang,예쁘다
2,贵姓,guìxìng,성씨 [존칭]
2,姓,xìng,성이 ~이다.
2,他,tā,그 남자
2,是,shì,~이다
2,哪,nǎ,어느
2,人,rěn,사람
2,韩国,hánguó,한국 [국명]
2,吗,ma,~입니까
2,中国,zhōngguó,중국 [국명]
2,美国,měiguó,미국 [국명]
2,外国,wàiguó,외국
2,学生,xuésheng,학생
2,意大利,yìdàlì,이탈리아
2,德国,déguó,독일
2,饿,è,배고프다
2,累,lèi,피곤하다
2,开心,kāixīn,즐겁다
2,巴西,bāxī,브라질
2,印度,yìndù,인도
2,西班呀,xībānyá,스페인
2,法国,fǎguó,프랑스
2,日本,rìběn,일본