KOREAN,JAPANESE,ISHIRA,
파랑,아오,1,
집,이에,1,
얼굴,카오,1,
목소리,코에,1,
스시/초밥,수시,1,
일(1),이치,1,
책상, 츠쿠에, 1,
강아지, 이누, 1,
고양이, 네코, 1,
꽃, 하나, 1,
사람, 히토, 1,
비, 아메, 1,
기모노, 키모노, 1,
산, 야마, 1,
눈, 유키, 1,
벚꽃, 사쿠라, 1,
자동차, 쿠루마, 1,
나, 와타시, 1,
일본, 니호ㄴ, 1,
가족, 카조쿠, 1,
불꽃놀이, 하나비, 1,
반짝반짝, 피카피카, 0,
꼬르륵, 페코페코, 0,
가수, 카시ㅠ, 1,
식사, 시ㅛ쿠지, 1,
백(100), 히ㅑ쿠, 1,
삼일(3일), 미ㅅ카, 1,
읽다, 이ㅅ시ㅛ, 1,
우표, 키ㅅ테, 1,
삿포로, 사ㅅ포로, 1,
신문, 시ㄴ부ㄴ, 1,
겐다마, 케ㄴ다마, 1,
음악, 오ㄴ가쿠, 1,
후지산, 후지사ㄴ, 1,
수학, 수우가쿠, 1,
영화, 에이가, 1,
많다, 오오이, 1,
아저씨, 오지사ㄴ, 1,
할아버지, 오지이사ㄴ, 1,
화재, 카지, 1,
한자, 카ㄴ지, 1,
1, 이치, 1,
2, 니, 1,
3, 사ㄴ, 1,
4, 요ㄴ, 1,
5, 고, 1,
6, 로쿠, 1,
7, 나나, 1,
8, 하치, 1,
9, 키ㅠ우, 1,
10, 지ㅠ우, 1,
0, 제로, 0,
한국, 카ㄴ코쿠, 1, 
중국, 치ㅠ우고쿠, 1,
일본, 니호ㄴ, 1,
프랑스, 후라ㄴ수, 0,
미국, 아메리카, 0,
취미, 시ㅠ미, 1,
야구, 야키ㅠ우, 1,
요리, 리ㅛ오리, 1,
게임, 게ㅡ무, 0,
축구, 사ㅅ카ㅡ, 0,
여행, 리ㅛ코우, 1,
피아노, 피아노, 0,
휴대전화, 케이타이, 1,
번호, 바ㄴ고우, 1,
친구, 토모다치, 1,
선생님, 세ㄴ세이, 1,
여러분, 미나사ㄴ, 1,
이름, 나마에, 1,
(자신소개)아빠, 치치, 1,
(타인소개)아빠, 오토우사ㄴ, 1,
(자신소개)엄마, 하하, 1,
(타인소개)엄마, 오카아사ㄴ, 1,
(자신소개)형/오빠, 아니, 1,
(타인소개)형/오빠, 오니이사ㄴ, 1,
(자신소개)언니/누나, 아네, 1,
(타인소개)언니/누나, 오네에사ㄴ, 1,
(자신소개)남동생, 오토우토, 1,
(타인소개)남동생, 오토우토사ㄴ, 1,
(자신소개)여동생, 이모우토, 1,
(타인소개)여동생, 이모우토사ㄴ, 1,
사과, 리ㄴ고, 1,
케이크, 케ㅡ키, 0,
쥬스, 지ㅠㅡ수, 0,
화과자, 오카시, 1,
차, 오치ㅑ, 1,
사진, 시ㅑ시ㄴ, 1,
고등학생, 코우코우세이, 1,
대학생, 다이가쿠세이, 1,
두명, 후타리, 1,
단독주택, 이ㅅ코다테, 1,
아파트(고층), 마ㄴ시ㅛㄴ, 0,
연립주택(빌라), 아파ㅡ토, 0,
이것, 코레, 1,
그것, 소레, 1,
저것, 아레, 1,
어느것, 토레, 1,
여기, 코코, 1,
거기, 소코, 1,
저기, 아소코, 1,
어디, 토코, 1,
이쪽, 코치라, 1,
그쪽, 소치라, 1,
저쪽, 아치라, 1,
어느쪽, 토치라, 1,
(대명사)이, 코노, 1,
(대명사)그, 소노, 1,
(대명사)저, 아노, 1,
(대명사)어느, 토노, 1,
안녕(아침), 오하요우, 1,
안녕(점심), 코ㄴ니치와, 1,
안녕(저녁), 코ㄴ바ㄴ와, 1,
잘가, 지ㅑ아네, 1,
또보자, 마타아시타, 1,
잘가(작별), 사요우나라, 1,
미안, 고메ㄴ, 1,
실례합니다, 수미마세ㄴ, 1,
몇번(어떤번호), 나ㄴ바ㄴ, 1,
처음뵙겠습니다, 하지메마시테, 1,
~입니다, 데수, 1,
~에서 왔습니다, 카라 키마시타, 1,
잘부탁해, 요로시쿠, 1,
이쪽도, 코치라코소, 1,
~은/는, 와, 1,
~씨(호명), 사ㄴ, 1,
~야(호명), 치ㅑㄴ, 1,
~의, 노, 1,
응, 우ㄴ, 1,
앞으로, 코레카라, 1,
여기요/아무쪼록/드세요 등, 도우조, 1,
매우, 도우모, 1,
고마워, 아리가토우, 1,
~명, 니ㄴ, 1,
다녀왔습니다, 타다이마, 1,
어서와(가족), 오카에리, 1,
어서와(손님), 이라ㅅ시ㅑ이, 1,
잘먹겠습니다, 이타다키마수, 1,
자~, 사아, 1,
저..., 아노, 1,
와(감탄), 와아, 1,
~와/과, 토, 1,
~도/또한, 모, 1,
네, 하이, 1,
아니요, 이이에, 1,
~가 아닙니다, 지ㅑ 아리마세ㄴ, 1,
그리고, 소시테, 1,
실례합니다(집방문), 오지ㅑ마시마수, 1,
앉아, 수와ㅅ테, 1,
편히 쉬어, 유ㅅ쿠리 시테네, 1,
집이 예쁘네, 오우치 키레이다네, 1,
정말?, 호ㄴ토우, 1,
신난다/기쁘다, 우레시이, 1,
놀다, 아소비, 1,
물론, 모치로ㄴ, 1,
언제든, 이츠데모, 1,
빨강, 아카, 1,
노랑, 키이로, 1,
하양, 시로, 1,
검정, 쿠로, 1,
눈, 메, 1,
코, 하나, 1,
입, 쿠치, 1,
귀, 미미, 1,
운동, 우ㄴ도우, 1,
영화, 에이가, 1,
음악, 오ㄴ가쿠, 1,
쇼핑, 카이모노, 1,
자전거, 지테ㄴ시ㅑ, 1,
청소, 소우지, 1
중학교, 치ㅜ우가쿠, 1,
대학교, 다이가쿠, 1,
전화, 데ㄴ와, 1,
입학, 니ㅠ우가쿠, 1,
졸업, 소츠기ㅛ우, 1,
여름방학, 나ㅅ야수미, 1,
겨울방학, 후유아수미, 1,
도시락, 베ㄴ토우, 1,
~학년, 네ㄴ, 1,
~반, 쿠미, 1,
한국인, 카ㄴ코쿠지ㄴ, 1,
일본인, 니호ㄴ지ㄴ, 1,
중국인, 치ㅠ우고쿠지ㄴ, 1,
딸기, 이치고, 1,
수박, 수이카, 1,
달걀, 타마고, 1,
커피, 코ㅡ히ㅡ, 0,
콜라, 코ㅡ라, 0,
음료, 노미모노, 1,
음식, 타베모노, 1,
선물, 푸레제ㄴ토, 0,
신발, 쿠츠, 1,
노래, 우타, 1,
화장실, 토이레, 0,
욕실, 오후로, 1,
선물(기념품), 오미야게, 1,
선물(방문용), 테미야게, 1,
아이스크림, 아이수쿠리ㅡ무, 0,
주소, 아도레수, 0,
애니메이션, 아니메, 0,
아르바이트, 아루바이토, 0,
인터넷, 이ㄴ타ㅡ네ㅅ토, 0,
~원, 우ㅗㄴ, 0,
카드, 카ㅡ도, 0,
가타카나, 카타카나, 0,
카메라, 카메라, 0,
카레, 카레ㅡ, 0,
학급, 쿠라수, 0,
크리스마스, 쿠리수마수, 0,
케이크, 케ㅡ키, 0,
휴대전화, 케ㅡ타이, 0,
게임, 게ㅡ무, 0,
커피, 코ㅡ히ㅡ, 0,
콜라, 코ㅡ라, 0,
컵, 코ㅅ부, 0,
복사, 코피ㅡ, 0,
콘서트, 코ㄴ사ㅡ토, 0,
편의점, 코ㄴ비니, 0,
컴퓨터, 코ㄴ피ㅠㅡ타, 0,
축구, 사ㅅ카ㅡ, 0,
셔츠, 시ㅑ츠, 0,
쥬스 ,지ㅠㅡ수, 0,
슈퍼마켓, 수ㅡ파ㅡ, 0,
스커트/치마, 수카ㅡ토, 0,
스키, 수키ㅡ, 0,
스푼/숟가락, 수푸ㅡㄴ, 0,
스포츠, 수포ㅡ츠, 0,
택시, 타쿠시ㅡ, 0,
채팅, 치ㅑㅅ토, 0,
테이블, 테ㅡ부루, 0,
테스트/시험, 테수토, 0,
백화점, 데파ㅡ토, 0,
텔레비젼, 테레비, 0,
문, 도아, 0,
화장실, 토이레, 0,
토마토, 토마토, 0,
뉴스, 니ㅠㅡ수, 0,
넥타이, 네쿠타이, 0,
노트, 노ㅡ투, 0,
파티, 파ㅡ테ㅣㅡ, 0,
버스 ,바수, 0,
컴퓨터(PC), 파소코ㄴ, 0,
바나나, 바나나, 0,
장미, 바라, 0,
빵, 파ㄴ, 0,
손수건, 하ㄴ카치, 0,
햄버거, 하ㄴ바ㅡ가ㅡ, 0,
피아노, 피아노, 0,
수영장, 푸ㅡ루, 0,
선물, 푸레제ㄴ토, 0,
애완동물, 페ㅅ토, 0,
홈스테이, 호ㅡ무수테이, 0,
홈페이지, 호ㅡ무페ㅡ지, 0,
볼펜, 보ㅡ루페ㄴ, 0,
호텔, 호테루, 0,
자원봉사자, 보루ㄴ테ㅣ아, 0,
미터, 메ㅡ토루, 0,
전자우편, 메ㅡ루, 0,
메뉴, 메니ㅠㅡ, 0,
라면, 라ㅡ메ㄴ, 0,
쌀, 라이수, 0,
라디오, 라지오, 0,
재활용, 리사이쿠루, 0,
